flow id:,first send:,last send:,last arrive:,send num:,receive num:,send size:,receive size:,FCT:,origin_pg:
11:0:21 11:0:41 10024 100 17,2.001199578,19.874335711,20.224688184,575,600,8299,8299,18.223488606,1
11:0:21 11:0:41 10055 100 17,2.004238749,103.743035221,104.042330935,16080,16179,405328,405328,102.038092186,3
11:0:21 11:0:41 10018 100 17,2.000824782,31.313320972,31.652068639,1459,1498,8308,8308,29.651243857,1
11:0:21 11:0:41 10023 100 17,2.001135579,12.528103753,12.918756806,236,249,8260,8260,10.917621227,1
11:0:21 11:0:41 10085 100 17,2.013247124,199.873918895,199.873892897,66164,66161,945000,943500,197.860645773,3
11:0:21 11:0:41 10058 100 17,2.005162747,199.90313341,199.903107412,66183,66180,919800,918340,197.897944665,3
11:0:21 11:0:41 10064 100 17,2.006940542,199.91036419,199.910338192,66185,66182,945000,943500,197.90339765,3
11:0:21 11:0:41 10017 100 17,2.000783583,21.983495835,22.329019966,709,737,8339,8339,20.328236383,1
11:0:21 11:0:41 10078 100 17,2.01108633,199.863443726,199.863417728,66155,66152,935624,934124,197.852331398,3
11:0:21 11:0:41 10030 100 17,2.001473572,18.017418849,18.375830065,483,503,8272,8272,16.374356493,1
11:0:21 11:0:41 10073 100 17,2.009633535,40.534660139,40.862546493,2431,2469,114912,114912,38.852912958,3
11:0:21 11:0:41 10036 100 17,2.001718966,17.13095712,17.482297312,431,454,8316,8316,15.480578346,1
11:0:21 11:0:41 10038 100 17,2.001815164,13.291295135,13.661967487,261,274,8370,8370,11.660152323,1
11:0:21 11:0:41 10014 100 17,2.000654786,21.330336228,21.680831348,665,686,8275,8275,19.680176562,1
11:0:21 11:0:41 10000 100 17,2,20.425138438,20.769883724,592,610,8203,8203,18.769883724,1
11:0:21 11:0:41 10054 100 17,2.00420515,31.146511737,31.485715198,1416,1445,66226,66226,29.481510048,2
11:0:21 11:0:41 10074 100 17,2.009857534,199.860373335,199.860347337,66154,66151,945000,943500,197.850489803,3
11:0:21 11:0:41 10016 100 17,2.000751384,19.02162439,19.373008849,507,524,8212,8212,17.372257465,1
