flow id:,first send:,last send:,last arrive:,send num:,receive num:,send size:,receive size:,FCT:,origin_pg:,transfer delay:
11:0:21 11:0:41 10045 100 17,2.001296157,128.024362247,128.024632246,223459,223466,352567,352567,126.023336089,2,0
11:0:21 11:0:41 10013 100 17,2.000354987,117.50867989,117.508774691,1113,1113,2554,2554,115.508419704,1,0
11:0:21 11:0:41 10042 100 17,2.001195159,118.924967733,118.925277933,1845,1845,2153,2153,116.924082774,1,0
11:0:21 11:0:41 10046 100 17,2.001329156,148.630864142,148.631093142,575945,575948,934044,934044,146.629763986,2,0
11:0:21 11:0:41 10059 100 17,2.002961934,3440.892419138,3440.892462736,210793566,210793908,98875818,98875818,3438.889500802,3,0
11:0:21 11:0:41 10048 100 17,2.001496551,2439.118721622,2439.11879882,100121,100121,10824,10824,2437.117302269,2,0
11:0:21 11:0:41 10061 100 17,2.003597931,212.356830358,212.368826522,584490,584595,7556197,7556197,210.365228591,3,0
11:0:21 11:0:41 10009 100 17,2.000241591,123.754724909,123.754859108,2079,2079,2293,2293,121.754617517,1,0
11:0:21 11:0:41 10050 100 17,2.001585349,130.576689408,130.577003008,439123,439126,866873,866873,128.575417659,2,0
11:0:21 11:0:41 10052 100 17,2.001766544,148.880353729,148.880455129,575362,575367,966438,966438,146.878688585,2,0
11:0:21 11:0:41 10057 100 17,2.002310536,145.191067583,145.208917122,96004,96035,1584403,1584403,143.206606586,3,0
11:0:31 11:0:41 10099 100 17,2.008068081,342.557765403,342.562003187,6780931,6781255,33381223,33381223,340.553935106,3,0
11:0:31 11:0:41 10095 100 17,2.007057286,370.61552194,370.618861327,7382468,7382778,32953236,32953236,368.611804041,3,0
11:0:31 11:0:41 10092 100 17,2.006847889,305.754300485,305.759396668,2301733,2301937,1333486,1333486,303.752548779,3,0
11:0:31 11:0:41 10090 100 17,2.006120293,306.57501644,306.579073428,4027609,4027891,24711438,24711438,304.572953135,3,0
11:0:31 11:0:41 10088 100 17,2.006046096,209.803061966,209.814785128,737862,737989,8963993,8963993,207.808739032,3,0
11:0:31 11:0:41 10087 100 17,2.006021097,189.753932953,189.766566116,569992,570102,8163612,8163612,187.760545019,3,0
11:0:31 11:0:41 10085 100 17,2.005970899,187.945500896,187.960043057,453395,453476,5636747,5636747,185.954072158,3,0
11:0:31 11:0:41 10084 100 17,2.0053617,212.873405792,212.884788356,744160,744289,8835236,8835236,210.879426656,3,0
11:0:31 11:0:41 10080 100 17,2.005191304,448.687380453,448.689110847,5077821,5077910,2171127,2171127,446.683919543,3,0
11:0:31 11:0:41 10079 100 17,2.005165705,306.191615324,306.195133717,4668442,4668741,26389332,26389332,304.189968012,3,0
11:0:31 11:0:41 10078 100 17,2.005128106,1836.469429926,1836.469483924,521039330,521039908,460323444,460323444,1834.464355818,3,0
11:0:31 11:0:41 10076 100 17,2.004803708,155.29152109,155.307390234,183748,183784,2550923,2550923,153.302586526,3,0
11:0:31 11:0:41 10075 100 17,2.004754709,134.594523973,134.612858318,114904,114938,2096158,2096158,132.608103609,3,0
11:0:31 11:0:41 10093 100 17,2.006885488,279.189931186,279.196047369,1553135,1553316,15111218,15111218,277.189161881,3,0
11:0:31 11:0:41 10074 100 17,2.004312711,226.20596507,226.214340044,693230,693349,8941637,8941637,224.210027333,3,0
11:0:31 11:0:41 10073 100 17,2.00376672,596.278203479,596.278277877,19157845,19158109,64820011,64820011,594.274511157,3,0
11:0:31 11:0:41 10072 100 17,2.003727521,1623.866223234,1623.866498432,227018262,227018679,164030539,164030539,1621.862770911,3,0
11:0:31 11:0:41 10070 100 17,2.003678123,153.101233442,153.11733239,253233,253287,3612149,3612149,151.113654267,3,0
11:0:31 11:0:41 10081 100 17,2.005229703,464.55790246,464.558664256,5389479,5389722,3083719,3083719,462.553434553,3,0
11:0:31 11:0:41 10069 100 17,2.003651323,240.83615321,240.844880384,1828478,1828709,15061855,15061855,238.841229061,3,0
11:0:31 11:0:41 10068 100 17,2.003525324,236.960635486,236.969876261,815669,815805,9906285,9906285,234.966350937,3,0
11:0:31 11:0:41 10066 100 17,2.002883927,145.838959397,145.855699739,103735,103762,2028061,2028061,143.852815812,3,0
11:0:31 11:0:41 10071 100 17,2.003703322,136.545533868,136.562232215,158090,158156,3457697,3457697,134.558528893,3,0
11:0:31 11:0:41 10065 100 17,2.002854328,720.020380551,720.020440551,43053444,43053780,108182849,108182849,718.017586223,3,0
11:0:31 11:0:41 10064 100 17,2.002805329,148.332749108,148.348567256,98036,98071,2376876,2376876,146.345761927,3,0
11:0:31 11:0:41 10063 100 17,2.002742331,197.709727514,197.72435307,433383,433475,6244772,6244772,195.721610739,3,0
