flow id:,first send:,last send:,last arrive:,send num:,receive num:,send size:,receive size:,FCT:,origin_pg:
11:0:21 11:0:41 10088 100 17,2.014180721,199.757233125,199.757207127,65847,65843,915420,913960,197.743026406,3
11:0:21 11:0:41 10039 100 17,2.001879763,6.782498838,6.782777837,172,178,8353,8353,4.780898074,1
11:0:21 11:0:41 10015 100 17,2.000700385,6.116437603,6.116790403,182,185,8263,8263,4.116090018,1
11:0:21 11:0:41 10006 100 17,2.000230394,10.550641869,10.55071887,618,626,8226,8226,8.550488476,1
11:0:21 11:0:41 10041 100 17,2.001992361,6.905809568,6.906095768,181,187,8217,8217,4.904103407,1
11:0:21 11:0:41 10011 100 17,2.000470589,6.782683035,6.783001433,209,219,8277,8277,4.782530844,1
11:0:21 11:0:41 10056 100 17,2.004540349,199.805411582,199.805385584,66249,66246,935521,934021,197.800845235,3
11:0:21 11:0:41 10081 100 17,2.012010328,199.770077285,199.770051287,66228,66225,943540,942040,197.758040959,3
11:0:21 11:0:41 10034 100 17,2.001640968,6.711688707,6.712047106,242,247,8344,8344,4.710406138,1
11:0:21 11:0:41 10007 100 17,2.000254793,7.079249149,7.079439541,216,225,8227,8227,5.079184748,1
11:0:21 11:0:41 10060 100 17,2.005777145,199.809096371,199.809070373,66251,66248,945000,943500,197.803293228,3
11:0:21 11:0:41 10049 100 17,2.003244555,56.638099062,56.957985877,5033,5090,65869,65869,54.954741322,2
11:0:21 11:0:41 10051 100 17,2.003734553,66.106807695,66.417871384,6894,6958,66436,66436,64.414136831,2
11:0:21 11:0:41 10008 100 17,2.000306992,8.144592388,8.14491379,320,329,8241,8241,6.144606798,1
11:0:21 11:0:41 10035 100 17,2.001662567,6.16955248,6.967183971,99,105,8324,8324,4.965521404,1
11:0:21 11:0:41 10002 100 17,2.000083798,6.595441715,6.595890909,187,190,8439,8439,4.595807111,1
11:0:21 11:0:41 10010 100 17,2.00041659,6.333462031,7.079041751,197,202,8322,8322,5.078625161,1
11:0:21 11:0:41 10031 100 17,2.001517971,6.837104921,6.837559914,503,505,8255,8255,4.836041943,1
11:0:21 11:0:41 10082 100 17,2.012321527,199.771002882,199.770976884,66228,66225,945000,943500,197.758655357,3
11:0:21 11:0:41 10075 100 17,2.010168733,199.763871705,199.763845707,66225,66221,918357,916897,197.753676974,3
11:0:21 11:0:41 10012 100 17,2.000525988,6.906384561,6.906610762,153,163,8300,8300,4.906084774,1
11:0:21 11:0:41 10029 100 17,2.001442173,7.033539137,7.033886737,197,203,8229,8229,5.032444564,1
11:0:21 11:0:41 10033 100 17,2.001604569,6.837194319,6.837736113,100,105,8471,8471,4.836131544,1
11:0:21 11:0:41 10026 100 17,2.001297176,6.987989848,6.988118048,230,232,8318,8318,4.986820872,1
11:0:21 11:0:41 10040 100 17,2.001931962,6.905761169,6.906040969,208,217,8276,8276,4.904109007,1
11:0:21 11:0:41 10032 100 17,2.00154617,6.83713412,6.837620113,192,204,8353,8353,4.836073943,1
11:0:21 11:0:41 10095 100 17,2.016173715,199.790890625,199.790864627,66244,66241,945000,943500,197.774690912,3
11:0:21 11:0:41 10037 100 17,2.001762565,8.088871803,8.089225604,504,508,8270,8270,6.087463039,1
11:0:21 11:0:41 10043 100 17,2.002113159,6.906663356,6.906881756,196,198,8298,8298,4.904768597,1
11:0:21 11:0:41 10001 100 17,2.000028199,7.363028149,7.36316395,270,280,8312,8312,5.363135751,1
11:0:21 11:0:41 10045 100 17,2.002284558,58.243281917,58.560380134,5361,5421,65983,65983,56.558095576,2
11:0:21 11:0:41 10013 100 17,2.000594587,6.398165396,7.110553502,195,198,8350,8350,5.109958915,1
11:0:21 11:0:41 10042 100 17,2.00205596,7.018989086,7.019328086,176,184,8331,8331,5.017272126,1
11:0:21 11:0:41 10046 100 17,2.002505558,31.652770235,31.989432787,1480,1509,65999,65999,29.986927229,2
11:0:21 11:0:41 10059 100 17,2.005465946,199.75872832,199.758702322,66045,66042,936120,934620,197.753236376,3
11:0:21 11:0:41 10048 100 17,2.002970756,29.727962372,30.063509883,1302,1330,66323,66323,28.060539127,2
11:0:21 11:0:41 10061 100 17,2.006088344,199.815144954,199.815118956,66380,66377,708264,707171,197.809030612,3
11:0:21 11:0:41 10009 100 17,2.000356391,6.957027272,6.95743727,184,193,8233,8233,4.957080879,1
